0.01,0.06
0,0.425717,1.231867,0.918192,0.24468,1.81208,0.335416,2.581723,1.621376,0.140181,0.431544,1.742725
1.354547,0,37.1196,18.197144,12.590384,77.548608,6.604232,25.977309,29.688064,3.14548,9.084824,87.684285
4.360875,15.440837,0,11.636509,21.031608,52.192432,7.496333,91.621507,11.027635,5.610493,15.294235,25.837909
1.376405,9.783555,63.978549,0,18.406008,40.156693,17.960843,8.591888,21.236395,14.98756,18.357667,55.106891
0.482227,5.335456,23.928192,8.531757,0,10.647792,6.115352,94.449595,14.981835,3.239829,4.615453,11.852472
1.405739,52.728419,121.307216,46.279891,11.954189,0,13.105923,72.546419,45.718024,6.325365,15.266589,46.331709
1.766205,6.371597,37.925288,22.764509,13.404488,20.734152,0,9.673768,9.732885,3.221832,5.557165,15.145245
3.001744,27.35288,134.462853,23.446464,13.880963,51.058075,11.455837,0,53.892221,17.0384,31.359515,64.032296
3.044187,88.359389,78.006827,63.751931,42.019395,85.796896,34.506317,92.009637,0,14.939421,40.009467,181.206851
0.31084,1.326512,11.713403,14.27768,1.459645,12.545603,0.760515,38.398067,3.519213,0,58.379869,4.923952
0.236917,16.625928,62.558245,17.43808,4.782701,20.609568,4.610987,32.963984,24.996584,9.909171,0,23.475317
3.283261,133.410731,97.618195,68.685096,33.094888,100.661429,27.133429,97.378027,182.224741,11.520477,40.664941,0
