?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0755

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0755
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.058626 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.080005 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.473959 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 7.628392 UNLIMITED
  Mannheim_Duesseldorf ( Mannheim Duesseldorf ) 1 0.000145 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 7.796259 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 13.916839 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 22.377993 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 3.031229 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 29.123127 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 1.72951 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 40.996774 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 2.243507 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 64.886293 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.567431 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.842255 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 4.565299 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 68.158488 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.016979 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 22.077178 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 3.076054 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 1.287084 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.000655 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 2.05285 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.483511 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.004074 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.959556 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.003757 UNLIMITED
  Dortmund_Ulm ( Dortmund Ulm ) 1 0.002197 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.01447 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 16.441213 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.805441 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 13.759158 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.591172 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 83.889143 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 355.605342 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.022447 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.016294 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 8.240448 UNLIMITED
