?SNDlib native format; type: network; version: 1.0
# network demandMatrix-5min-20040616-2230-abilene

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20040616-2230
  unit  = MBITPERSEC
  origin  = Yin Zhang, http://userweb.cs.utexas.edu/~yzhang/research/AbileneTM/
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  ATLAM5 ( -84.3833 33.75 )
  ATLAng ( -85.50 34.50 )
  CHINng ( -87.6167 41.8333 )
  DNVRng ( -105.00 40.75 )
  HSTNng ( -95.517364 29.770031 )
  IPLSng ( -86.159535 39.780622 )
  KSCYng ( -96.596704 38.961694 )
  LOSAng ( -118.25 34.05 )
  NYCMng ( -73.9667 40.7833 )
  SNVAng ( -122.02553 37.38575 )
  STTLng ( -122.30 47.60 )
  WASHng ( -77.026842 38.897303 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  ATLAM5_ATLAng ( ATLAM5 ATLAng ) 1 0.133333 UNLIMITED
  ATLAM5_CHINng ( ATLAM5 CHINng ) 1 0.144296 UNLIMITED
  ATLAM5_DNVRng ( ATLAM5 DNVRng ) 1 0.053333 UNLIMITED
  ATLAM5_HSTNng ( ATLAM5 HSTNng ) 1 0.145256 UNLIMITED
  ATLAM5_KSCYng ( ATLAM5 KSCYng ) 1 0.494563 UNLIMITED
  ATLAM5_LOSAng ( ATLAM5 LOSAng ) 1 0.402939 UNLIMITED
  ATLAM5_NYCMng ( ATLAM5 NYCMng ) 1 0.126656 UNLIMITED
  ATLAM5_SNVAng ( ATLAM5 SNVAng ) 1 0.013333 UNLIMITED
  ATLAM5_STTLng ( ATLAM5 STTLng ) 1 1.550005 UNLIMITED
  ATLAM5_WASHng ( ATLAM5 WASHng ) 1 0.710245 UNLIMITED
  ATLAng_ATLAM5 ( ATLAng ATLAM5 ) 1 0.191971 UNLIMITED
  ATLAng_CHINng ( ATLAng CHINng ) 1 39.982237 UNLIMITED
  ATLAng_DNVRng ( ATLAng DNVRng ) 1 7.343621 UNLIMITED
  ATLAng_HSTNng ( ATLAng HSTNng ) 1 20.123635 UNLIMITED
  ATLAng_IPLSng ( ATLAng IPLSng ) 1 27.216325 UNLIMITED
  ATLAng_KSCYng ( ATLAng KSCYng ) 1 4.792853 UNLIMITED
  ATLAng_LOSAng ( ATLAng LOSAng ) 1 15.177332 UNLIMITED
  ATLAng_NYCMng ( ATLAng NYCMng ) 1 4.69392 UNLIMITED
  ATLAng_SNVAng ( ATLAng SNVAng ) 1 0.339089 UNLIMITED
  ATLAng_STTLng ( ATLAng STTLng ) 1 8.087792 UNLIMITED
  ATLAng_WASHng ( ATLAng WASHng ) 1 41.221376 UNLIMITED
  CHINng_ATLAM5 ( CHINng ATLAM5 ) 1 0.559179 UNLIMITED
  CHINng_ATLAng ( CHINng ATLAng ) 1 12.215632 UNLIMITED
  CHINng_DNVRng ( CHINng DNVRng ) 1 30.980389 UNLIMITED
  CHINng_HSTNng ( CHINng HSTNng ) 1 19.822773 UNLIMITED
  CHINng_IPLSng ( CHINng IPLSng ) 1 38.135216 UNLIMITED
  CHINng_KSCYng ( CHINng KSCYng ) 1 9.563016 UNLIMITED
  CHINng_LOSAng ( CHINng LOSAng ) 1 71.202749 UNLIMITED
  CHINng_NYCMng ( CHINng NYCMng ) 1 21.378685 UNLIMITED
  CHINng_SNVAng ( CHINng SNVAng ) 1 2.844619 UNLIMITED
  CHINng_STTLng ( CHINng STTLng ) 1 8.373355 UNLIMITED
  CHINng_WASHng ( CHINng WASHng ) 1 33.092443 UNLIMITED
  DNVRng_ATLAM5 ( DNVRng ATLAM5 ) 1 0.347632 UNLIMITED
  DNVRng_ATLAng ( DNVRng ATLAng ) 1 5.522824 UNLIMITED
  DNVRng_CHINng ( DNVRng CHINng ) 1 53.303157 UNLIMITED
  DNVRng_HSTNng ( DNVRng HSTNng ) 1 23.679187 UNLIMITED
  DNVRng_IPLSng ( DNVRng IPLSng ) 1 46.39616 UNLIMITED
  DNVRng_KSCYng ( DNVRng KSCYng ) 1 32.277755 UNLIMITED
  DNVRng_LOSAng ( DNVRng LOSAng ) 1 27.240893 UNLIMITED
  DNVRng_NYCMng ( DNVRng NYCMng ) 1 16.038621 UNLIMITED
  DNVRng_SNVAng ( DNVRng SNVAng ) 1 14.808037 UNLIMITED
  DNVRng_STTLng ( DNVRng STTLng ) 1 33.753219 UNLIMITED
  DNVRng_WASHng ( DNVRng WASHng ) 1 49.055992 UNLIMITED
  HSTNng_ATLAM5 ( HSTNng ATLAM5 ) 1 0.353379 UNLIMITED
  HSTNng_ATLAng ( HSTNng ATLAng ) 1 15.121523 UNLIMITED
  HSTNng_CHINng ( HSTNng CHINng ) 1 18.708411 UNLIMITED
  HSTNng_DNVRng ( HSTNng DNVRng ) 1 1.635997 UNLIMITED
  HSTNng_IPLSng ( HSTNng IPLSng ) 1 11.653813 UNLIMITED
  HSTNng_KSCYng ( HSTNng KSCYng ) 1 3.833808 UNLIMITED
  HSTNng_LOSAng ( HSTNng LOSAng ) 1 13.970875 UNLIMITED
  HSTNng_NYCMng ( HSTNng NYCMng ) 1 4.572459 UNLIMITED
  HSTNng_SNVAng ( HSTNng SNVAng ) 1 0.743339 UNLIMITED
  HSTNng_STTLng ( HSTNng STTLng ) 1 2.770173 UNLIMITED
  HSTNng_WASHng ( HSTNng WASHng ) 1 3.554672 UNLIMITED
  IPLSng_ATLAM5 ( IPLSng ATLAM5 ) 1 0.338587 UNLIMITED
  IPLSng_ATLAng ( IPLSng ATLAng ) 1 15.696581 UNLIMITED
  IPLSng_CHINng ( IPLSng CHINng ) 1 66.900595 UNLIMITED
  IPLSng_DNVRng ( IPLSng DNVRng ) 1 23.979741 UNLIMITED
  IPLSng_HSTNng ( IPLSng HSTNng ) 1 9.237837 UNLIMITED
  IPLSng_KSCYng ( IPLSng KSCYng ) 1 13.881603 UNLIMITED
  IPLSng_LOSAng ( IPLSng LOSAng ) 1 51.983149 UNLIMITED
  IPLSng_NYCMng ( IPLSng NYCMng ) 1 34.563808 UNLIMITED
  IPLSng_SNVAng ( IPLSng SNVAng ) 1 0.782208 UNLIMITED
  IPLSng_STTLng ( IPLSng STTLng ) 1 31.454624 UNLIMITED
  IPLSng_WASHng ( IPLSng WASHng ) 1 56.093179 UNLIMITED
  KSCYng_ATLAM5 ( KSCYng ATLAM5 ) 1 0.046995 UNLIMITED
  KSCYng_ATLAng ( KSCYng ATLAng ) 1 2.83456 UNLIMITED
  KSCYng_CHINng ( KSCYng CHINng ) 1 24.013907 UNLIMITED
  KSCYng_DNVRng ( KSCYng DNVRng ) 1 13.209051 UNLIMITED
  KSCYng_HSTNng ( KSCYng HSTNng ) 1 11.800779 UNLIMITED
  KSCYng_IPLSng ( KSCYng IPLSng ) 1 12.335349 UNLIMITED
  KSCYng_LOSAng ( KSCYng LOSAng ) 1 6.956936 UNLIMITED
  KSCYng_NYCMng ( KSCYng NYCMng ) 1 8.120997 UNLIMITED
  KSCYng_SNVAng ( KSCYng SNVAng ) 1 6.040653 UNLIMITED
  KSCYng_STTLng ( KSCYng STTLng ) 1 4.531875 UNLIMITED
  KSCYng_WASHng ( KSCYng WASHng ) 1 21.358859 UNLIMITED
  LOSAng_ATLAM5 ( LOSAng ATLAM5 ) 1 0.084011 UNLIMITED
  LOSAng_ATLAng ( LOSAng ATLAng ) 1 39.588264 UNLIMITED
  LOSAng_CHINng ( LOSAng CHINng ) 1 100.492088 UNLIMITED
  LOSAng_DNVRng ( LOSAng DNVRng ) 1 20.508251 UNLIMITED
  LOSAng_HSTNng ( LOSAng HSTNng ) 1 14.585581 UNLIMITED
  LOSAng_IPLSng ( LOSAng IPLSng ) 1 46.761789 UNLIMITED
  LOSAng_KSCYng ( LOSAng KSCYng ) 1 6.119616 UNLIMITED
  LOSAng_NYCMng ( LOSAng NYCMng ) 1 48.343085 UNLIMITED
  LOSAng_SNVAng ( LOSAng SNVAng ) 1 15.489859 UNLIMITED
  LOSAng_STTLng ( LOSAng STTLng ) 1 40.796893 UNLIMITED
  LOSAng_WASHng ( LOSAng WASHng ) 1 59.39796 UNLIMITED
  NYCMng_ATLAM5 ( NYCMng ATLAM5 ) 1 3.176573 UNLIMITED
  NYCMng_ATLAng ( NYCMng ATLAng ) 1 40.754755 UNLIMITED
  NYCMng_CHINng ( NYCMng CHINng ) 1 59.670539 UNLIMITED
  NYCMng_DNVRng ( NYCMng DNVRng ) 1 31.345429 UNLIMITED
  NYCMng_HSTNng ( NYCMng HSTNng ) 1 13.390299 UNLIMITED
  NYCMng_IPLSng ( NYCMng IPLSng ) 1 35.324171 UNLIMITED
  NYCMng_KSCYng ( NYCMng KSCYng ) 1 24.622608 UNLIMITED
  NYCMng_LOSAng ( NYCMng LOSAng ) 1 82.123544 UNLIMITED
  NYCMng_SNVAng ( NYCMng SNVAng ) 1 1.556517 UNLIMITED
  NYCMng_STTLng ( NYCMng STTLng ) 1 27.396803 UNLIMITED
  NYCMng_WASHng ( NYCMng WASHng ) 1 110.232848 UNLIMITED
  SNVAng_ATLAM5 ( SNVAng ATLAM5 ) 1 0.038443 UNLIMITED
  SNVAng_ATLAng ( SNVAng ATLAng ) 1 0.223507 UNLIMITED
  SNVAng_CHINng ( SNVAng CHINng ) 1 0.394413 UNLIMITED
  SNVAng_DNVRng ( SNVAng DNVRng ) 1 22.080648 UNLIMITED
  SNVAng_HSTNng ( SNVAng HSTNng ) 1 0.726037 UNLIMITED
  SNVAng_IPLSng ( SNVAng IPLSng ) 1 9.624587 UNLIMITED
  SNVAng_KSCYng ( SNVAng KSCYng ) 1 0.047541 UNLIMITED
  SNVAng_LOSAng ( SNVAng LOSAng ) 1 36.228779 UNLIMITED
  SNVAng_NYCMng ( SNVAng NYCMng ) 1 2.349189 UNLIMITED
  SNVAng_STTLng ( SNVAng STTLng ) 1 37.386368 UNLIMITED
  SNVAng_WASHng ( SNVAng WASHng ) 1 4.815136 UNLIMITED
  STTLng_ATLAM5 ( STTLng ATLAM5 ) 1 0.593099 UNLIMITED
  STTLng_ATLAng ( STTLng ATLAng ) 1 12.750768 UNLIMITED
  STTLng_CHINng ( STTLng CHINng ) 1 22.766589 UNLIMITED
  STTLng_DNVRng ( STTLng DNVRng ) 1 6.298403 UNLIMITED
  STTLng_HSTNng ( STTLng HSTNng ) 1 10.075749 UNLIMITED
  STTLng_IPLSng ( STTLng IPLSng ) 1 21.044237 UNLIMITED
  STTLng_KSCYng ( STTLng KSCYng ) 1 4.096787 UNLIMITED
  STTLng_LOSAng ( STTLng LOSAng ) 1 33.097339 UNLIMITED
  STTLng_NYCMng ( STTLng NYCMng ) 1 14.171763 UNLIMITED
  STTLng_SNVAng ( STTLng SNVAng ) 1 3.374157 UNLIMITED
  STTLng_WASHng ( STTLng WASHng ) 1 19.827131 UNLIMITED
  WASHng_ATLAM5 ( WASHng ATLAM5 ) 1 0.13352 UNLIMITED
  WASHng_ATLAng ( WASHng ATLAng ) 1 136.439168 UNLIMITED
  WASHng_CHINng ( WASHng CHINng ) 1 100.579147 UNLIMITED
  WASHng_DNVRng ( WASHng DNVRng ) 1 101.747336 UNLIMITED
  WASHng_HSTNng ( WASHng HSTNng ) 1 17.544699 UNLIMITED
  WASHng_IPLSng ( WASHng IPLSng ) 1 55.18532 UNLIMITED
  WASHng_KSCYng ( WASHng KSCYng ) 1 19.141557 UNLIMITED
  WASHng_LOSAng ( WASHng LOSAng ) 1 79.223501 UNLIMITED
  WASHng_NYCMng ( WASHng NYCMng ) 1 114.340192 UNLIMITED
  WASHng_SNVAng ( WASHng SNVAng ) 1 4.197936 UNLIMITED
  WASHng_STTLng ( WASHng STTLng ) 1 44.429373 UNLIMITED
)

# ADMISSIBLE PATHS SECTION
#
# <demand_id> ( {<path_id> ( <link_id>+ )}+ )

ADMISSIBLE_PATHS ( 
)
