?SNDlib native format; type: network; version: 1.0
# network demandMatrix-5min-20040426-1415-abilene

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20040426-1415
  unit  = MBITPERSEC
  origin  = Yin Zhang, http://userweb.cs.utexas.edu/~yzhang/research/AbileneTM/
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  ATLAM5 ( -84.3833 33.75 )
  ATLAng ( -85.50 34.50 )
  CHINng ( -87.6167 41.8333 )
  DNVRng ( -105.00 40.75 )
  HSTNng ( -95.517364 29.770031 )
  IPLSng ( -86.159535 39.780622 )
  KSCYng ( -96.596704 38.961694 )
  LOSAng ( -118.25 34.05 )
  NYCMng ( -73.9667 40.7833 )
  SNVAng ( -122.02553 37.38575 )
  STTLng ( -122.30 47.60 )
  WASHng ( -77.026842 38.897303 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  ATLAM5_ATLAng ( ATLAM5 ATLAng ) 1 0.301333 UNLIMITED
  ATLAM5_CHINng ( ATLAM5 CHINng ) 1 1.855685 UNLIMITED
  ATLAM5_HSTNng ( ATLAM5 HSTNng ) 1 1.70064 UNLIMITED
  ATLAM5_IPLSng ( ATLAM5 IPLSng ) 1 0.46344 UNLIMITED
  ATLAM5_KSCYng ( ATLAM5 KSCYng ) 1 0.117707 UNLIMITED
  ATLAM5_NYCMng ( ATLAM5 NYCMng ) 1 1.039064 UNLIMITED
  ATLAM5_WASHng ( ATLAM5 WASHng ) 1 2.266176 UNLIMITED
  ATLAng_CHINng ( ATLAng CHINng ) 1 31.515851 UNLIMITED
  ATLAng_HSTNng ( ATLAng HSTNng ) 1 33.693803 UNLIMITED
  ATLAng_IPLSng ( ATLAng IPLSng ) 1 26.229984 UNLIMITED
  ATLAng_KSCYng ( ATLAng KSCYng ) 1 5.441221 UNLIMITED
  ATLAng_NYCMng ( ATLAng NYCMng ) 1 19.396872 UNLIMITED
  ATLAng_SNVAng ( ATLAng SNVAng ) 1 0.161315 UNLIMITED
  ATLAng_STTLng ( ATLAng STTLng ) 1 0.783976 UNLIMITED
  ATLAng_WASHng ( ATLAng WASHng ) 1 95.267731 UNLIMITED
  CHINng_ATLAng ( CHINng ATLAng ) 1 26.167419 UNLIMITED
  CHINng_DNVRng ( CHINng DNVRng ) 1 20.665907 UNLIMITED
  CHINng_HSTNng ( CHINng HSTNng ) 1 85.672848 UNLIMITED
  CHINng_IPLSng ( CHINng IPLSng ) 1 66.339235 UNLIMITED
  CHINng_KSCYng ( CHINng KSCYng ) 1 14.05928 UNLIMITED
  CHINng_LOSAng ( CHINng LOSAng ) 1 0.240992 UNLIMITED
  CHINng_NYCMng ( CHINng NYCMng ) 1 44.237237 UNLIMITED
  CHINng_STTLng ( CHINng STTLng ) 1 7.053979 UNLIMITED
  CHINng_WASHng ( CHINng WASHng ) 1 36.226397 UNLIMITED
  DNVRng_ATLAng ( DNVRng ATLAng ) 1 11.349904 UNLIMITED
  DNVRng_CHINng ( DNVRng CHINng ) 1 79.114712 UNLIMITED
  DNVRng_HSTNng ( DNVRng HSTNng ) 1 37.00324 UNLIMITED
  DNVRng_IPLSng ( DNVRng IPLSng ) 1 32.574501 UNLIMITED
  DNVRng_KSCYng ( DNVRng KSCYng ) 1 14.911085 UNLIMITED
  DNVRng_NYCMng ( DNVRng NYCMng ) 1 17.529216 UNLIMITED
  DNVRng_SNVAng ( DNVRng SNVAng ) 1 14.713645 UNLIMITED
  DNVRng_STTLng ( DNVRng STTLng ) 1 0.091307 UNLIMITED
  DNVRng_WASHng ( DNVRng WASHng ) 1 37.385992 UNLIMITED
  HSTNng_ATLAng ( HSTNng ATLAng ) 1 48.387416 UNLIMITED
  HSTNng_CHINng ( HSTNng CHINng ) 1 3.744136 UNLIMITED
  HSTNng_IPLSng ( HSTNng IPLSng ) 1 0.10272 UNLIMITED
  HSTNng_NYCMng ( HSTNng NYCMng ) 1 10.59164 UNLIMITED
  HSTNng_SNVAng ( HSTNng SNVAng ) 1 0.026667 UNLIMITED
  HSTNng_STTLng ( HSTNng STTLng ) 1 0.081333 UNLIMITED
  HSTNng_WASHng ( HSTNng WASHng ) 1 118.541005 UNLIMITED
  IPLSng_ATLAng ( IPLSng ATLAng ) 1 26.677448 UNLIMITED
  IPLSng_CHINng ( IPLSng CHINng ) 1 193.629627 UNLIMITED
  IPLSng_DNVRng ( IPLSng DNVRng ) 1 8.485904 UNLIMITED
  IPLSng_HSTNng ( IPLSng HSTNng ) 1 46.664976 UNLIMITED
  IPLSng_KSCYng ( IPLSng KSCYng ) 1 11.976008 UNLIMITED
  IPLSng_LOSAng ( IPLSng LOSAng ) 1 0.053333 UNLIMITED
  IPLSng_NYCMng ( IPLSng NYCMng ) 1 55.139445 UNLIMITED
  IPLSng_SNVAng ( IPLSng SNVAng ) 1 0.372656 UNLIMITED
  IPLSng_STTLng ( IPLSng STTLng ) 1 0.527627 UNLIMITED
